YEAR,MO,DY,WS10M_MAX,WS10M_MIN,WD10M
1982,5,11,5.59,2.53,64.81
1982,5,12,6.52,2.27,53.38
1982,5,13,5.77,3.34,56.44
1982,5,14,5.3,3.09,74.44
1982,5,15,6.64,3.04,73.62
1982,5,16,4.02,0.25,92.44
1982,5,17,4.3,0.84,181.75
1982,5,18,3.8,0.27,55.62
1982,5,19,3.65,0.04,86.38
1982,5,20,4.9,1.98,66.0
1982,5,21,4.39,0.89,59.0
1982,5,22,6.06,1.97,88.0
1982,5,23,4.14,0.34,103.88
1982,5,24,8.09,1.51,64.5
1982,5,25,8.7,4.61,62.81
1982,5,26,4.98,0.62,109.69
1982,5,27,4.17,2.3,182.31
1982,5,28,6.95,2.21,54.94
1982,5,29,8.0,2.09,108.06
1982,5,30,8.59,3.02,62.06
1982,5,31,6.25,0.96,214.69
1982,6,1,4.19,2.35,202.56
1982,6,2,4.66,2.01,38.94
1982,6,3,3.55,0.47,53.94
1982,6,4,4.46,0.19,206.5
1982,6,5,4.54,1.74,69.94
1982,6,6,5.04,1.93,79.0
1982,6,7,6.31,2.87,81.25
1982,6,8,7.7,4.04,75.69
1982,6,9,6.37,3.78,83.19
1982,6,10,5.34,3.0,80.31
1982,6,11,5.7,0.38,222.88
1982,6,12,8.38,2.85,253.56
1982,6,13,8.15,1.37,273.12
1982,6,14,4.27,0.18,131.88
1982,6,15,5.35,1.49,97.94
1982,6,16,8.2,3.17,82.19
1982,6,17,6.7,1.02,128.38
1982,6,18,4.52,1.94,221.12
1982,6,19,7.41,3.6,57.44
1982,6,20,5.37,0.05,242.25
1982,6,21,4.08,2.17,215.94
1982,6,22,3.29,0.09,237.5
1982,6,23,5.08,2.16,195.75
1982,6,24,4.61,1.26,127.56
1982,6,25,4.92,0.84,273.62
1982,6,26,8.87,3.49,260.25
1982,6,27,5.39,1.26,153.38
1982,6,28,7.75,3.56,75.94
1982,6,29,8.57,4.66,69.0
1982,6,30,6.88,5.29,58.56
1982,7,1,6.34,4.06,68.75
1982,7,2,8.95,2.13,91.62
1982,7,3,6.55,1.88,181.31
1982,7,4,7.7,0.12,123.12
1982,7,5,6.46,1.56,133.94
1982,7,6,4.48,1.83,179.19
1982,7,7,3.33,1.92,176.06
1982,7,8,5.0,1.37,56.75
1982,7,9,4.72,0.84,57.12
1982,7,10,6.5,2.73,71.38
1982,7,11,3.52,1.24,134.88
1982,7,12,4.79,0.63,239.62
1982,7,13,7.77,1.85,253.88
1982,7,14,5.66,1.26,210.25
1982,7,15,6.43,0.25,196.5
1982,7,16,6.0,0.29,252.25
1982,7,17,5.06,0.65,279.19
1982,7,18,5.01,2.2,164.0
1982,7,19,5.17,1.3,103.25
1982,7,20,5.41,0.78,191.38
1982,7,21,6.89,0.87,247.38
1982,7,22,5.8,0.67,277.12
1982,7,23,3.96,0.75,115.12
1982,7,24,4.09,0.72,216.38
1982,7,25,4.87,0.27,104.5
1982,7,26,4.45,1.34,57.69
1982,7,27,4.78,1.28,199.25
1982,7,28,6.44,0.58,238.06
1982,7,29,6.37,1.25,258.5
1982,7,30,7.7,1.42,268.38
1982,7,31,9.91,1.57,85.0
1982,8,1,6.3,1.53,135.31
1982,8,2,7.75,1.22,271.31
1982,8,3,8.37,1.42,50.25
1982,8,4,7.73,5.28,57.62
1982,8,5,7.31,4.12,66.19
1982,8,6,7.15,1.97,72.5
1982,8,7,5.68,1.61,46.81
1982,8,8,7.66,3.5,55.88
1982,8,9,6.42,3.93,53.31
1982,8,10,8.91,3.88,58.81
1982,8,11,8.27,4.4,56.94
1982,8,12,4.67,3.07,34.88
1982,8,13,5.67,2.7,73.75
1982,8,14,7.34,2.13,75.31
1982,8,15,3.76,1.05,158.62
1982,8,16,5.05,0.5,254.38
1982,8,17,4.95,1.11,204.94
1982,8,18,5.69,2.9,70.88
1982,8,19,4.34,0.81,100.88
1982,8,20,5.88,0.34,165.31
1982,8,21,8.95,3.14,57.94
1982,8,22,8.9,6.48,68.69
1982,8,23,7.55,6.12,57.44
1982,8,24,7.02,2.15,45.12
1982,8,25,10.14,6.07,64.0
1982,8,26,6.13,0.5,161.25
1982,8,27,5.35,0.12,277.31
1982,8,28,4.51,1.66,225.12
1982,8,29,8.28,3.1,72.62
1982,8,30,7.88,3.73,56.75
1982,8,31,7.45,2.66,49.0
1982,9,1,8.72,3.77,40.12
1982,9,2,7.96,3.58,258.75
1982,9,3,3.84,1.69,112.94
1982,9,4,8.59,2.48,125.94
1982,9,5,8.27,0.44,175.69
1982,9,6,4.19,0.33,197.38
1982,9,7,7.16,1.6,127.25
1982,9,8,7.15,4.84,76.62
1982,9,9,9.52,4.97,79.38
1982,9,10,7.1,3.51,71.81
1982,9,11,7.22,2.97,55.62
1982,9,12,6.53,3.95,48.69
1982,9,13,4.0,1.26,67.38
1982,9,14,5.14,1.77,57.44
1982,9,15,7.96,3.45,70.88
1982,9,16,7.45,5.16,69.12
1982,9,17,5.98,2.55,55.5
1982,9,18,5.75,1.76,56.44
1982,9,19,5.7,2.07,53.44
1982,9,20,5.05,0.58,133.31
1982,9,21,5.32,0.77,110.31
1982,9,22,5.43,0.55,236.31
1982,9,23,5.8,0.62,232.94
1982,9,24,4.23,2.12,197.69
1982,9,25,5.23,1.65,173.81
1982,9,26,8.38,4.01,202.31
1982,9,27,8.16,3.77,54.25
1982,9,28,5.24,3.02,42.81
1982,9,29,5.27,1.85,51.88
1982,9,30,4.37,1.52,174.62
1982,10,1,5.94,2.59,44.25
1982,10,2,5.0,2.91,77.5
1982,10,3,5.54,1.22,82.0
1982,10,4,5.09,0.26,227.94
1982,10,5,10.27,4.69,260.81
1982,10,6,9.8,3.29,289.56
1982,10,7,8.08,5.85,269.19
1982,10,8,6.15,3.03,270.12
1982,10,9,5.42,1.32,240.38
1982,10,10,5.01,2.5,260.5
1982,10,11,4.44,0.79,302.06
1982,10,12,7.62,2.74,247.5
1982,10,13,9.69,5.92,249.81
1982,10,14,11.51,5.65,261.38
1982,10,15,6.59,2.82,214.75
1982,10,16,3.76,0.7,156.19
1982,10,17,4.4,1.85,206.81
1982,10,18,4.47,0.8,216.44
1982,10,19,10.62,1.84,150.81
1982,10,20,7.56,0.72,88.25
1982,10,21,10.79,3.34,270.31
1982,10,22,14.33,3.09,228.81
1982,10,23,13.49,8.0,269.06
1982,10,24,7.93,4.1,298.56
1982,10,25,4.55,3.0,300.5
1982,10,26,5.52,2.38,275.0
1982,10,27,4.63,2.87,98.94
1982,10,28,4.87,2.82,24.5
1982,10,29,8.81,3.44,13.81
1982,10,30,7.62,3.23,54.94
1982,10,31,8.95,0.96,79.44
1982,11,1,6.67,5.49,63.25
1982,11,2,7.35,3.12,70.56
1982,11,3,4.93,2.84,57.69
1982,11,4,4.35,0.48,70.19
1982,11,5,3.34,0.91,197.94
1982,11,6,10.51,1.73,125.19
1982,11,7,11.59,8.29,177.44
1982,11,8,10.07,2.27,238.12
1982,11,9,8.32,4.95,261.81
1982,11,10,6.3,4.34,100.0
1982,11,11,6.66,5.16,157.75
1982,11,12,6.84,1.61,273.31
1982,11,13,8.05,2.12,256.5
1982,11,14,8.37,2.23,294.44
1982,11,15,12.82,6.08,292.12
1982,11,16,10.54,6.45,320.0
1982,11,17,9.84,3.76,293.31
1982,11,18,6.48,2.77,271.25
1982,11,19,4.2,1.27,216.56
1982,11,20,3.48,1.6,105.12
1982,11,21,3.77,0.77,211.06
1982,11,22,4.29,1.12,97.19
1982,11,23,4.43,0.84,153.19
1982,11,24,6.83,4.48,233.75
1982,11,25,5.6,2.91,219.5
1982,11,26,11.09,5.09,201.88
1982,11,27,15.98,10.98,274.88
1982,11,28,11.24,5.7,297.94
1982,11,29,7.12,1.01,209.81
1982,11,30,9.77,5.41,220.0
1982,12,1,10.52,5.15,290.38
1982,12,2,5.38,2.78,259.38
1982,12,3,3.82,1.84,298.81
1982,12,4,4.61,1.95,287.31
1982,12,5,3.93,2.68,69.19
1982,12,6,3.67,1.45,179.38
1982,12,7,5.95,3.53,231.88
1982,12,8,6.38,1.45,228.12
1982,12,9,8.77,4.83,242.81
1982,12,10,12.22,7.39,257.0
1982,12,11,13.26,8.16,283.81
1982,12,12,13.05,9.3,255.75
1982,12,13,12.99,9.35,248.31
1982,12,14,9.05,4.47,278.31
1982,12,15,5.38,1.78,207.44
1982,12,16,7.33,5.05,235.75
1982,12,17,13.03,6.05,243.12
1982,12,18,15.2,11.02,293.56
1982,12,19,13.85,6.59,291.12
1982,12,20,10.76,6.13,239.44
1982,12,21,12.04,6.26,242.5
1982,12,22,8.66,4.17,303.62
1982,12,23,12.27,5.62,305.38
1982,12,24,8.9,5.27,304.31
1982,12,25,7.07,4.19,285.81
1982,12,26,6.78,3.73,273.94
1982,12,27,5.47,1.17,112.31
1982,12,28,2.89,0.1,125.56
1982,12,29,2.98,0.21,111.88
1982,12,30,3.25,0.81,80.56
1982,12,31,4.48,2.95,92.81
